,,,,,sum,sum,sum,sum,sum,sum,sum
result_1,,,,,compile,faulty source,incorrect,runtime,success,unicode error,All
dataset,model_name,template,source_lang,target_lang,,,,,,,
codenet,llamafile_dolphin-2.6-phi-2,25,25,25,0,0,0,0,0,25,25
codenet,llamafile_dolphin-2.6-phi-2,131,131,131,0,0,0,0,131,0,131
codenet,llamafile_dolphin-2.6-phi-2,206,206,206,0,0,0,0,206,0,206
codenet,llamafile_dolphin-2.6-phi-2,210,210,210,0,0,210,0,0,0,210
codenet,llamafile_dolphin-2.6-phi-2,213,213,213,0,0,0,213,0,0,213
codenet,llamafile_dolphin-2.6-phi-2,265,265,265,0,0,0,265,0,0,265
codenet,llamafile_dolphin-2.6-phi-2,353,353,353,0,0,353,0,0,0,353
codenet,llamafile_dolphin-2.6-phi-2,1663,1663,1663,1663,0,0,0,0,0,1663
codenet,llamafile_dolphin-2.6-phi-2,1678,1678,1678,1678,0,0,0,0,0,1678
codenet,llamafile_dolphin-2.7-mixtral,16,16,16,0,16,0,0,0,0,16
codenet,llamafile_dolphin-2.7-mixtral,24,24,24,0,0,0,0,0,24,24
codenet,llamafile_dolphin-2.7-mixtral,273,273,273,0,0,273,0,0,0,273
codenet,llamafile_dolphin-2.7-mixtral,477,477,477,0,0,0,477,0,0,477
codenet,llamafile_dolphin-2.7-mixtral,769,769,769,0,0,0,0,769,0,769
codenet,llamafile_dolphin-2.7-mixtral,841,841,841,841,0,0,0,0,0,841
codenet,llamafile_mistral,16,16,16,0,64,0,0,0,0,64
codenet,llamafile_mistral,24,24,24,0,0,0,0,0,96,96
codenet,llamafile_mistral,162,162,162,0,0,0,0,162,0,162
codenet,llamafile_mistral,221,221,221,0,0,0,0,221,0,221
codenet,llamafile_mistral,239,239,239,0,0,0,0,239,0,239
codenet,llamafile_mistral,241,241,241,0,0,241,0,0,0,241
codenet,llamafile_mistral,251,251,251,0,0,251,0,0,0,251
codenet,llamafile_mistral,254,254,254,0,0,0,0,254,0,254
codenet,llamafile_mistral,286,286,286,0,0,286,0,0,0,286
codenet,llamafile_mistral,314,314,314,0,0,0,314,0,0,314
codenet,llamafile_mistral,315,315,315,0,0,0,315,0,0,315
codenet,llamafile_mistral,320,320,320,0,0,0,320,0,0,320
codenet,llamafile_mistral,454,454,454,0,0,0,454,0,0,454
codenet,llamafile_mistral,483,483,483,0,0,483,0,0,0,483
codenet,llamafile_mistral,1261,1261,1261,1261,0,0,0,0,0,1261
codenet,llamafile_mistral,1520,1520,1520,1520,0,0,0,0,0,1520
codenet,llamafile_mistral,1551,1551,1551,1551,0,0,0,0,0,1551
codenet,llamafile_mistral,1568,1568,1568,1568,0,0,0,0,0,1568
codenet,llamafile_mixtral,14,14,14,0,14,0,0,0,0,14
codenet,llamafile_mixtral,16,16,16,0,32,0,0,0,0,32
codenet,llamafile_mixtral,24,24,24,0,0,0,0,0,48,48
codenet,llamafile_mixtral,142,142,142,0,0,0,0,0,142,142
codenet,llamafile_mixtral,160,160,160,0,0,160,0,0,0,160
codenet,llamafile_mixtral,229,229,229,0,0,0,229,0,0,229
codenet,llamafile_mixtral,267,267,267,0,0,267,0,0,0,267
codenet,llamafile_mixtral,270,270,270,0,0,0,270,0,0,270
codenet,llamafile_mixtral,304,304,304,0,0,304,0,0,0,304
codenet,llamafile_mixtral,356,356,356,0,0,0,356,0,0,356
codenet,llamafile_mixtral,534,534,534,0,0,0,0,534,0,534
codenet,llamafile_mixtral,640,640,640,0,0,0,0,640,0,640
codenet,llamafile_mixtral,654,654,654,0,0,0,0,654,0,654
codenet,llamafile_mixtral,921,921,921,921,0,0,0,0,0,921
codenet,llamafile_mixtral,1046,1046,1046,1046,0,0,0,0,0,1046
codenet,llamafile_mixtral,1183,1183,1183,1183,0,0,0,0,0,1183
codenet,llamafile_phi3,16,16,16,0,16,0,0,0,0,16
codenet,llamafile_phi3,24,24,24,0,0,0,0,0,24,24
codenet,llamafile_phi3,280,280,280,0,0,280,0,0,0,280
codenet,llamafile_phi3,300,300,300,0,0,0,0,300,0,300
codenet,llamafile_phi3,404,404,404,0,0,0,404,0,0,404
codenet,llamafile_phi3,1376,1376,1376,1376,0,0,0,0,0,1376
codenet,ollama_llama3-8b,16,16,16,0,16,0,0,0,0,16
codenet,ollama_llama3-8b,32,32,32,0,0,0,0,0,32,32
codenet,ollama_llama3-8b,167,167,167,0,0,167,0,0,0,167
codenet,ollama_llama3-8b,387,387,387,0,0,0,387,0,0,387
codenet,ollama_llama3-8b,528,528,528,0,0,0,0,528,0,528
codenet,ollama_llama3-8b,1270,1270,1270,1270,0,0,0,0,0,1270
All,,,,,38435,3834,8872,10524,11974,535,74174
